name,calling_id,start_date,primary
Marcos A. Aidukaitis,26,5 Apr 2008,1
Rubén V. Alliaud,26,6 Apr 2019,1
Jose L. Alonso,26,2 Apr 2011,1
Jorge M. Alvarado,26,6 Apr 2019,1
John D. Amos,26,5 Apr 2025,1
Steven R. Bangerter,26,31 Mar 2018,1
Ronald M. Barcellos,26,5 Apr 2025,1
W. Mark Bassett,26,2 Apr 2016,1
Jorge T. Becerra,26,4 Apr 2020,1
Hans T. Boom,26,6 Apr 2019,1
Mark A. Bragg,26,2 Apr 2016,1
Kevin G. Brown,26,5 Apr 2025,1
David L. Buckner,26,6 Apr 2024,1
Matthew L. Carpenter,26,31 Mar 2018,1
Gregorio E. Casillas,26,6 Apr 2024,1
Aroldo B. Cavalcante,26,6 Apr 2024,1
Christian C. Chigbundu,26,4 Apr 2026,1
Yoon Hwan Choi,26,4 Apr 2009,1
Craig C. Christensen,26,5 Oct 2002,1
Carl B. Cook,26,2 Apr 2011,1
Ahmad S. Corbitt,26,1 Apr 2023,1
Valeri V. Cordón,26,2 Apr 2016,1
Joaquin E. Costa,26,2 Apr 2016,1
B. Corey Cuvelier,26,5 Apr 2025,1
Michael Cziesla,26,5 Apr 2025,1
Robert M. Daines,26,1 Apr 2023,1
Massimo De Feo,26,2 Apr 2016,1
Edward Dube,26,6 Apr 2013,1
Kevin R. Duncan,26,3 Apr 2010,1
Michael A. Dunn,26,3 Apr 2021,1
Alexander Dushku,26,15 Aug 2023,1
Mark D. Eddy,26,2 Apr 2022,1
I. Raymond Egbo,26,6 Apr 2024,1
J. Kimo Esplin,26,1 Apr 2023,1
James E. Evanson,26,5 Apr 2025,1
Brik V. Eyre,26,5 Apr 2025,1
Matthew J. Eyring,26,4 Apr 2026,1
Hutch U. Fale,26,4 Apr 2026,1
James O. Fantone,26,4 Apr 2026,1
Ozani Farias,26,5 Apr 2025,1
Eduardo Gavarret,26,5 Apr 2008,1
Jack N. Gerard,26,31 Mar 2018,1
Ricardo P. Giménez,26,6 Apr 2019,1
Christophe G. Giraud-Carrier,26,1 Apr 2023,1
Patricio M. Giuffra,26,3 Apr 2021,1
Taylor G. Godoy,26,1 Apr 2017,1
Carlos A. Godoy,26,5 Apr 2008,1
D. Martin Goury,26,6 Apr 2024,1
Brook P. Hales,26,15 May 2018,1
Aaron T. Hall,26,5 Apr 2025,1
Kevin J. Hathaway,26,4 Apr 2026,1
Allen D. Haynie,26,4 Apr 2015,1
Mathias Held,26,31 Mar 2018,1
Karl D. Hirst,26,6 Apr 2024,1
Matthew S. Holland,26,4 Apr 2020,1
Brian J. Holmes,26,5 Apr 2025,1
David P. Homer,26,31 Mar 2018,1
William K. Jackson,26,4 Apr 2020,1
Jeremy R. Jaggi,26,4 Apr 2020,1
Peter M. Johnson,26,6 Apr 2019,1
Kelly R. Johnson,26,4 Apr 2020,1
Christopher H. Kim,26,6 Apr 2024,1
Jörg Klebingat,26,5 Apr 2014,1
Joni L. Koch,26,1 Apr 2017,1
Erich W. Kopischke,26,31 Mar 2007,1
Alfred Kyungu,26,3 Apr 2021,1
Pedro X. Larreal,26,5 Apr 2025,1
Thabo Lebethoa,26,4 Apr 2026,1
Hugo E. Martinez,26,5 Apr 2014,1
Clement M. Matswagothata,26,5 Apr 2025,1
James W. McConkie III,26,2 Apr 2022,1
John A. McCune,26,6 Apr 2019,1
Kyle S. McKay,26,31 Mar 2018,1
Alvin F. Meredith III,26,3 Apr 2021,1
Peter F. Meurs,26,2 Apr 2016,1
Hugo Montoya,26,4 Apr 2015,1
Jeremiah J. Morgan,26,4 Apr 2026,1
Isaac K. Morrison,26,2 Apr 2022,1
Thierry K. Mutombo,26,4 Apr 2020,1
Marcus B. Nash,26,1 Apr 2006,1
K. Brett Nattress,26,2 Apr 2016,1
Adeyinka A. Ojediran,26,4 Apr 2020,1
Ryan K. Olsen,26,2 Apr 2022,1
Eduardo F. Ortega,26,5 Apr 2025,1
S. Mark Palmer,26,2 Apr 2016,1
Adilson de Paula Parrella,26,1 Apr 2017,1
Kevin W. Pearson,26,5 Apr 2008,1
Anthony D. Perkins,26,1 Apr 2006,1
Alan T. Phillips,26,1 Apr 2023,1
Paul B. Pieper,26,2 Apr 2005,1
John C. Pingree,26,1 Apr 2017,1
James R. Rasband,26,6 Apr 2019,1
Carlos G. Revillo Jr.,26,3 Apr 2021,1
Michael T. Ringwood,26,4 Apr 2009,1
Sandino Roman,26,6 Apr 2024,1
Edward B. Rowe,26,5 Apr 2025,1
Ciro Schmeil,26,4 Apr 2020,1
Jonathan S. Schmitt,26,2 Apr 2022,1
Steven D. Shumway,26,6 Apr 2024,1
Vaiangina Sikahema,26,3 Apr 2021,1
Denelson Silva,26,2 Apr 2022,1
Paul H. Sinclair,26,4 Apr 2026,1
Vern P. Stanfill,26,4 Apr 2015,1
Michael B. Strong,26,6 Apr 2024,1
Benjamin M. Z. Tai,26,6 Apr 2019,1
Brian K. Taylor,26,1 Apr 2017,1
Michael John U. Teh,26,31 Mar 2007,1
José A. Teixeira,26,5 Apr 2008,1
Arnulfo Valenzuela,26,6 Apr 2013,1
Sergio R. Vargas,26,6 Apr 2024,1
Moisés Villanueva,26,4 Apr 2020,1
Juan Pablo Villar,26,31 Mar 2018,1
Takashi Wada,26,31 Mar 2018,1
Taniela B. Wakolo,26,1 Apr 2017,1
Alan R. Walker,26,6 Apr 2019,1
Scott D. Whiting,26,31 Mar 2012,1
Chi Hong (Sam) Wong,26,5 Apr 2014,1
Wan-Liang Wu,26,5 Apr 2025,1
